"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Tyler Thornburg","BOS","RP","50.3","50","2","1","3","4.79","1.40","27","50","20","8","53","3","2"
"Michael Lorenzen","CIN","RP","83.3","66","1","1","11","4.05","1.41","38","83","35","11","52","4","4"
"Phil Maton","SD","RP","46.0","53","1","1","6","4.16","1.45","21","46","21","5","43","2","2"
"Matt Andriese","ARI","SP,RP","71.6","66","1","0","0","4.59","1.35","37","75","21","13","32","4","4"
"Dylan Floro","LAD","SP,RP","59.3","52","1","1","7","3.45","1.37","23","61","20","7","45","4","3"
"Steven Wright","BOS","SP,RP","55.5","43","2","1","4","4.09","1.37","25","54","23","8","36","3","4"
"Wilmer Font","TB","SP,RP","39.8","39","0","0","0","5.04","1.35","22","40","14","8","38","2","3"
"Dylan Covey","CWS","SP,RP","106.6","78","0","0","0","4.98","1.51","59","113","48","18","25","5","8"
"Matt Moore","DET","SP,RP","107.8","91","0","1","2","5.26","1.53","63","124","41","18","23","5","8"
"Dominic Leone","STL","RP","38.8","44","1","1","5","3.95","1.36","17","38","15","5","40","2","2"
"Tommy Kahnle","NYY","RP","40.5","55","1","1","7","3.94","1.39","18","37","20","6","46","2","2"
"Ray Black","SF","RP","34.3","50","0","1","3","4.34","1.18","17","24","16","4","41","3","2"
"Thomas Pannone","TOR","SP,RP","56.8","46","1","0","0","4.80","1.32","30","56","20","13","25","3","4"
"Dan Altavilla","SEA","RP","39.4","47","1","1","4","3.96","1.42","17","32","24","4","28","2","2"
"Alex Wilson","DET","RP","60.7","46","1","0","0","4.10","1.26","28","60","16","8","59","3","3"
"Dennis Santana","LAD","SP,RP","51.6","57","0","0","0","4.45","1.44","26","50","25","7","15","5","3"
"Shawn Armstrong","SEA","RP","41.1","44","2","0","2","3.45","1.25","16","35","17","5","42","2","2"
"Nick Goody","CLE","RP","26.0","32","0","1","6","4.38","1.31","13","24","10","6","33","1","1"
"Bryan Mitchell","SD","SP,RP","104.3","74","0","0","0","4.63","1.50","54","112","44","10","28","5","7"
"Darren O'Day","ATL","RP","44.5","57","2","1","11","3.64","1.16","18","36","16","6","51","2","3"
"Jonathan Holder","NYY","RP","54.0","54","1","1","4","3.50","1.20","21","49","16","8","54","3","2"
"Pedro Baez","LAD","RP","56.8","64","1","2","17","3.45","1.27","22","48","24","8","58","3","3"
"Emilio Pagan","TB","RP","51.8","57","1","1","8","4.21","1.24","24","47","17","7","37","2","3"
"Tommy Hunter","PHI","RP","61.3","57","2","2","24","3.71","1.24","25","60","16","8","60","3","4"
"Ruben Alaniz","SEA","RP","37.0","36","0","0","0","4.26","1.38","18","36","16","7","55","2","2"
"Paul Fry","BAL","RP","51.0","53","1","1","11","3.93","1.42","22","49","24","6","53","2","3"
"Jesse Chavez","TEX","RP","91.5","86","3","2","15","4.18","1.27","43","93","24","13","64","3","5"
"Joe Biagini","TOR","SP,RP","58.5","47","0","1","6","4.96","1.46","32","66","20","8","53","3","4"
"Scott Alexander","LAD","RP","54.8","49","1","2","21","3.41","1.34","21","50","23","4","53","3","3"
"Jesse Biddle","ATL","RP","56.5","61","0","1","11","3.54","1.33","22","48","27","5","49","3","3"
"Scott Oberg","COL","RP","56.1","58","1","1","12","3.65","1.32","23","56","18","6","57","3","3"
"Adam Plutko","CLE","SP,RP","41.6","34","0","0","0","5.36","1.32","25","42","13","8","22","2","3"
"Jordan Lyles","PIT","SP,RP","99.5","86","0","1","5","4.45","1.41","49","106","34","12","31","5","7"
"Walker Lockett","NYM","SP,RP","30.5","25","0","0","0","4.28","1.44","15","35","10","6","16","2","2"
"Matt Bush","TEX","RP","33.0","33","0","1","3","4.09","1.38","15","32","14","5","33","2","2"
"Jimmie Sherfy","ARI","RP","40.0","44","1","1","3","3.43","1.33","15","32","21","5","43","2","2"
"Ty Blach","SF","SP,RP","70.3","41","0","0","2","4.23","1.40","33","76","22","7","39","4","5"
"Kyle Zimmer","KC","SP,RP","14.0","13","0","0","0","6.11","1.68","10","15","9","3","21","1","1"
"Daniel Poncedeleon","STL","SP,RP","31.3","28","1","0","0","3.93","1.35","14","28","14","4","6","2","2"
"Sam Dyson","SF","RP","61.3","49","1","2","16","3.75","1.32","26","58","23","5","62","3","4"
"Juan Minaya","CWS","RP","50.0","62","1","2","14","4.18","1.51","23","47","29","6","47","2","3"
"Jacob Barnes","MIL","RP","48.3","51","1","1","11","3.77","1.41","20","46","22","5","46","2","3"
"Edubray Ramos","PHI","RP","33.7","37","1","1","14","3.29","1.29","12","30","13","6","53","2","2"
"Yoan Lopez","ARI","RP","33.8","38","0","0","0","3.93","1.29","15","31","13","4","33","1","2"
"Brett Anderson","OAK","SP,RP","79.3","52","0","0","0","4.39","1.41","39","92","20","9","17","4","5"
"Brian Johnson","BOS","SP,RP","57.7","50","1","0","0","4.68","1.48","30","63","22","3","3","2","4"
"Jake McGee","COL","RP","45.3","44","1","2","15","4.82","1.38","24","48","15","7","49","2","3"
"Taylor Cole","LAA","RP","38.0","38","0","0","0","4.08","1.26","17","32","16","6","36","2","2"
"Miguel Castro","BAL","RP","76.5","52","1","2","12","4.53","1.48","39","72","41","9","58","3","5"
"Joshua Fields","LAD","RP","40.8","40","0","1","8","3.42","1.13","16","34","12","7","44","2","2"
"Michael Feliz","PIT","RP","43.3","55","1","2","12","4.62","1.44","22","43","19","6","40","2","3"
"David Paulino","TOR","SP,RP","44.6","47","0","0","0","4.39","1.34","22","45","14","7","42","3","2"
"Koda Glover","WSH","RP","32.8","28","1","1","6","4.19","1.42","15","32","15","5","42","2","2"
"Tanner Scott","BAL","SP,RP","53.8","77","1","1","9","4.27","1.52","26","50","32","5","52","2","3"
"Tyler Clippard","","RP","65.5","79","1","0","0","4.19","1.23","31","54","26","12","72","4","4"
"Shawn Kelley","TEX","RP","46.0","51","2","1","5","4.04","1.11","21","39","12","8","49","2","2"
"Juan Nicasio","PHI","RP","47.5","56","1","2","15","4.07","1.26","22","48","12","6","42","2","3"
"Silvino Bracho","ARI","RP","40.8","48","1","1","5","4.36","1.32","20","37","17","6","45","2","2"
"Austin Gomber","STL","SP,RP","46.8","41","0","1","6","4.18","1.47","22","50","19","5","21","3","3"
"Brock Stewart","LAD","SP,RP","21.7","17","0","0","0","4.15","1.35","10","22","8","3","9","1","1"
"Corey Oswalt","NYM","SP,RP","48.8","36","0","1","2","5.17","1.38","28","51","16","7","14","3","3"
"Liam Hendriks","OAK","RP","32.0","37","1","0","0","3.86","1.29","14","30","11","5","39","2","1"
"Matt Albers","MIL","RP","42.6","39","1","1","5","4.76","1.36","23","43","15","8","56","3","3"
"Ryan Buchter","OAK","RP","43.8","47","1","2","17","3.55","1.23","17","36","18","7","54","3","3"
"Adrian Sampson","TEX","SP,RP","31.0","19","0","0","0","5.52","1.39","19","36","7","5","8","2","2"
"Bryan Shaw","COL","RP","55.8","56","1","2","14","4.64","1.52","29","61","24","7","59","3","4"
"Noe Ramirez","LAA","RP","54.8","63","0","1","3","4.40","1.28","27","50","21","7","44","3","3"
"Nick Vincent","SEA","RP","59.5","55","1","0","0","3.78","1.17","25","55","15","9","66","4","3"
"Jose De Leon","TB","SP,RP","37.3","37","0","0","0","4.42","1.37","18","36","15","7","13","3","2"
"Trey Wingenter","SD","RP","42.0","56","1","1","3","3.96","1.35","19","32","25","5","51","2","2"
"Edwin Jackson","","SP,RP","99.0","75","0","0","0","4.88","1.44","54","99","43","17","19","4","7"
"Jorge Lopez","KC","RP","102.3","80","0","0","0","5.13","1.51","58","112","43","14","39","5","8"
"Tyler Lyons","PIT","RP","25.5","27","1","0","0","3.71","1.30","11","23","10","3","24","2","2"
"Hector Santiago","NYM","SP,RP","32.7","31","0","0","0","4.68","1.49","17","32","17","6","13","2","2"
"Robert Stock","SD","SP,RP","49.0","48","0","1","9","2.98","1.33","16","46","19","5","42","2","3"
"Danny Barnes","TOR","RP","49.0","49","1","1","7","4.68","1.40","26","48","21","9","50","2","3"
"Ryan Carpenter","DET","SP,RP","38.0","31","0","0","0","5.68","1.46","24","43","13","7","25","2","3"
"Randall Delgado","","RP","32.3","28","1","0","0","4.45","1.36","16","32","12","6","31","2","2"
"Ryan Dull","OAK","RP","32.8","34","1","1","4","4.26","1.22","16","30","11","5","36","2","1"
"Joe Smith","HOU","RP","18.6","19","0","1","8","3.64","1.19","8","17","6","4","28","1","1"
"Jonny Venters","ATL","SP,RP","37.6","33","0","1","11","3.83","1.39","16","34","19","3","54","2","3"
"Justin Wilson","NYM","RP","41.0","55","1","2","15","3.56","1.40","16","34","24","4","42","2","3"
"Hunter Wood","TB","RP","33.0","35","1","1","5","3.88","1.41","14","32","14","4","32","2","2"
"Ryan Madson","","RP","55.0","55","3","0","0","3.52","1.21","22","52","15","6","59","3","3"
"Jake Jewell","LAA","SP,RP","15.5","11","0","0","0","4.94","1.55","9","17","8","2","20","1","1"
"Blaine Hardy","DET","SP,RP","59.3","49","1","1","4","3.95","1.26","26","58","16","10","43","3","3"
"Dean Deetz","HOU","RP","27.0","29","0","0","0","4.55","1.54","14","27","15","3","24","1","1"
"Richard Bleier","BAL","RP","55.0","28","1","1","12","3.27","1.34","20","62","11","6","53","3","2"
"Cody Carroll","BAL","RP","24.3","24","0","0","2","4.68","1.49","13","23","13","4","27","1","2"
"Heath Hembree","BOS","RP","55.8","67","1","2","17","4.15","1.41","26","56","23","8","57","3","3"
"Aaron Bummer","CWS","RP","35.0","33","0","2","10","3.77","1.46","15","35","16","4","43","1","2"
"Andrew Chafin","ARI","RP","43.8","51","1","2","16","3.44","1.43","17","41","22","4","63","2","3"
"Tony Cingrani","LAD","RP","28.8","37","0","1","6","4.14","1.29","13","26","11","4","32","2","1"
"Jose Alvarez","PHI","RP","44.5","44","1","1","13","3.74","1.32","19","44","15","6","51","2","3"
"Victor Arano","PHI","RP","39.3","41","1","1","6","3.38","1.23","15","36","13","6","41","2","2"
"Taylor Williams","MIL","RP","46.8","53","1","1","10","4.24","1.50","22","48","23","6","48","2","3"
"Dan Otero","CLE","RP","51.0","38","1","0","2","4.10","1.26","23","57","7","6","51","3","2"
"Brad Wieck","SD","SP,RP","34.7","41","0","0","0","3.55","1.18","14","29","12","3","23","1","1"
